City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
317,bikenibeu village,1.3673,173.1241,30.98,66,40,3.6,KI,1729727902
318,jianshui,23.6363,102.8264,15.49,91,37,1.14,CN,1729727903
319,burang,30.25,81.1667,-1.55,66,8,0.45,CN,1729727905
320,nouadhibou,20.931,-17.0347,21.61,72,0,6.75,MR,1729727906
321,tura,25.5198,90.2201,21.5,97,100,1.18,IN,1729727907
322,tolanaro,-25.0319,46.9987,22.04,88,20,9.26,MG,1729727908
323,antofagasta,-23.65,-70.4,16.6,75,5,4.3,CL,1729727909
324,hulan,45.9833,126.6,4.11,53,5,2.95,CN,1729727910
325,gazli,40.1333,63.45,9.08,52,0,3.05,UZ,1729727911
326,bubaque,11.2833,-15.8333,27.81,77,41,3.41,GW,1729727912
327,freetown,8.484,-13.2299,26.23,84,91,3.3,SL,1729727914
328,kaga bandoro,6.9896,19.1874,22.16,96,97,1.48,CF,1729727915
329,ipora,-16.4419,-51.1178,24.53,75,67,1.71,BR,1729727916
330,ebon,4.582,168.6964,28.87,71,66,7.4,MH,1729727917
331,el granada,37.5027,-122.4694,23.13,57,0,7.2,US,1729727918
332,caraguatatuba,-23.6338,-45.4899,22.07,98,100,0.61,BR,1729727919
333,vilyuchinsk,52.9306,158.4028,3.15,95,100,3.26,RU,1729727920
334,posto fiscal rolim de moura,-13.0833,-62.2667,24.11,95,100,2.03,BR,1729727921
335,ceeldheer,3.8488,47.1806,25.59,89,23,6.66,SO,1729727922
336,las lomitas,-24.7096,-60.593,32.07,36,60,2.73,AR,1729727923
337,linfen,36.0889,111.5189,14.27,42,0,2.61,CN,1729727925
338,nuuk,64.1835,-51.7216,-0.07,62,100,1.79,GL,1729727926
339,onega,63.9061,38.1404,5.07,84,100,5.55,RU,1729727927
340,banjar,-8.19,114.9675,28.18,70,34,2.27,ID,1729727928
341,lembeni,-3.7833,37.6167,20.22,75,64,1.87,TZ,1729727929
342,la'ie,21.6477,-157.9253,30.66,75,93,2.68,US,1729727930
343,klyuchi,52.2667,79.1667,4.6,77,79,5.49,RU,1729727931
344,ventnor,50.5948,-1.2037,13.59,89,13,5.36,GB,1729727932
345,flying fish cove,-10.4217,105.6791,24.82,83,20,3.6,CX,1729727934
346,hilo,19.7297,-155.09,27.85,82,40,0.45,US,1729727801
347,murgud,16.4,74.2,21.92,89,50,1.95,IN,1729727936
348,hwange,-18.3693,26.5019,26.79,40,78,1.99,ZW,1729727937
349,piton saint-leu,-21.2196,55.3151,19.06,68,0,4.12,RE,1729727939
350,cidreira,-30.1811,-50.2056,20.91,92,86,8.15,BR,1729727940
351,lauttasaari,60.1594,24.8753,9.62,81,0,4.92,FI,1729727941
352,lazaro cardenas,17.9583,-102.2,28.14,83,34,2.82,MX,1729727943
353,bernsdorf,51.3667,14.0667,7.92,22,1,2.23,DE,1729727944
354,howrah,22.5892,88.3103,26.0,89,75,4.12,IN,1729727945
355,sheldon,43.1811,-95.8561,12.3,40,0,2.57,US,1729727946
356,chernyshevskiy,63.0128,112.4714,-10.7,94,100,2.32,RU,1729727947
357,kununurra,-15.7667,128.7333,30.99,70,48,2.57,AU,1729727948
358,umm ruwaba,12.9061,31.2158,30.63,46,96,3.08,SD,1729727949
359,mana,5.6592,-53.7767,26.64,81,100,3.46,GF,1729727950
360,nelson bay,-32.7167,152.15,22.27,68,0,6.71,AU,1729727951
361,madimba,-10.4,40.3333,23.82,85,14,2.21,TZ,1729727953
